net,sta,lat,lon,elev,lito,lito_code,luse,luse_code,coast_dist,road_dist
IT,FRE,44.1214,11.3978,0.454,6,Ssr,100,SL,80.394423291511,7.8379706107897
IT,FRN,44.6868,10.1072,0.28,3,Al,300,FL,67.2386544074693,16.655294585092484
IT,FRR,38.0515,16.1325,0.025,2,CM,100,SL,1.12503407703941,8.417580654405745
IT,FRZ,38.0379,16.0874,0.472,16,Ccr,100,SL,4.9853443267398,8.60238153925875
IT,FRZN,43.7934,11.2223,0.09,3,Al,100,SL,80.7346898211537,26.93367605441342
IT,FSS,43.6905,12.8101,0.138,3,Al,100,SL,26.1890020140083,7.760508044699128
IT,FVZ,44.2382,10.1311,0.428,12,Cr,100,SL,23.8848506588312,0.7843012845387043
IT,FZE,43.7787,11.2581,0.108,3,Al,100,SL,81.8617770007948,48.86855421452685
IT,GAI,45.6592,10.6162,0.4,4,Gd,220,PCL,185.266102991955,6.085593660920818
IT,GBB,43.3569,12.5972,0.754,10,M,300,FL,68.8636680627695,3.889672970840929
IT,GBC,43.3553,12.5726,0.526,3,Al,100,SL,69.4584304591149,12.036578738553612
IT,GBL,37.7961,12.9142,0.687,5,E,300,FL,24.282097337727,11.26225851184386
IT,GBP,43.3138,12.5894,0.426,3,Al,100,SL,73.6912826690333,4.308859166898813
IT,GBSL,43.3558,12.5717,0.515,3,Al,100,SL,69.4171573906248,9.8286582321299
IT,GDFR,41.8034,14.7971,0.299,6,Ssr,100,SL,25.9689581546563,16.56254736849573
IT,GEA,37.0562,14.3146,0.062,17,Ucr,100,SL,2.75751240813948,7.476928089024118
RF,GEDE,46.2544,13.1247,0.232,17,Ucr,210,ACL,60.4767458533374,57.42672940108378
IT,GEL,37.0846,14.2691,0.023,3,Al,100,SL,3.04216365499146,24.44955739004229
RF,GEPF,46.2752,13.1385,0.255,17,Ucr,100,SL,62.7133563774218,2.3084166984643555
RF,GESC,46.2819,13.1409,0.373,17,Ucr,100,SL,63.4469160405038,5.038254276704699
IT,GLD,41.509,14.7566,0.772,12,Cr,210,ACL,58.1824268009314,32.38401628107079
IT,GLNS,41.912,14.9182,0.346,16,Ccr,100,SL,11.4771543223271,33.73102656684304
IT,GLT,43.2331,12.789,0.607,17,Ucr,100,SL,66.1932357736552,19.960183029615425
IT,GMB,38.1666,15.8363,1.329,15,Sr,100,SL,12.7899215307748,30.207786522452636
IT,GNL,40.8433,16.0331,0.63,17,Ucr,100,SL,57.4615937321686,12.08326764504798
IT,GNU,42.8038,12.5702,1.085,12,Cr,100,SL,104.055479590514,5.946171507599045
IT,GNV,44.4317,8.932,0.419,12,Cr,100,SL,2.05017422768135,15.731990154889903
RF,GORI,45.9403,13.6308,0.141,10,M,100,SL,16.9602094730324,8.860285970935871
